,id,country,weight,width,height,thickness,screen_resol,screen_size,screen_type,MaxSDMemory,PhoneMemory,RAM,OperSystem,SIMType,Warranty,CPUType,CPUFreq,CPUCores,MainCameraMP,FrontCameraMP,SIMNumber,Wireless,CommunicStand,SatelliteNavig,Battery,InterfaceType,MusicWorkingTime,VideoWorkingTime,sales_count
281,115424052,Китай,204 г,,17 см,,1650 x 720,"6,71""",,1 ТБ,64 ГБ,4 ГБ,Andorid,,1 год,JLQ JR510,,8,13 Мп,,2 SIM,Bluetooth; Wi - Fi,,,6000 мAч,USB Type C,,,300
282,104156248,Китай,194 г,7.57 см,15 см,0.83 см,1792x828,"6.1""",Liquid Retina HD,,64 ГБ,4 ГБ,iOS,Nano-SIM,1 год,Apple A13 Bionic,,6 ядер,12 Мп,,1,Bluetooth 5.0; NFC; Wi-Fi,4G; LTE,GPS; ГЛОНАСС,3110 mAh,Lightning,,,60
283,117274999,Китай,173 г,7.15 см,14.6 см,0.76 см,,,OLED,,256,,iOS,Nano-SIM,1 год,Apple A15 Bionic,,6 ядер,12 Мп,,1,Bluetooth 5.0; Wi-Fi; NFC,4G LTE,ГЛОНАСС; GPS; Galileo,,Lightning,,,90
284,104176291,Китай,194 г,7.57 см,15 см,0.83 см,1792x828,"6.1""",Liquid Retina HD,,64 ГБ,4 ГБ,iOS,Nano-SIM,1 год,Apple A13 Bionic,2650 МГц,6 ядер,,,1,Bluetooth 5.0; NFC; Wi-Fi,4G; LTE,Galileo; GPS; ГЛОНАСС,3110 mAh,Lightning,,,80
285,36566541,Вьетнам,248 г,8.15 см,17.16 см,1.06 см,2400x1080,6.67'',FHD+,,128 ГБ,6 ГБ,,nano SIM,1 год,Qualcomm® Snapdragon™ 480 5G,,8 ядер,48 Мп,8 Мп,2 nano-SIM,802.11 b/g/n/ac/ax-ready,3G; 4G; 5G,"BeiDou, A-GPS, Galileo, ГЛОНАСС, GPS",4630 мА*ч,USB Type C,,,300
286,111524079,Китай,189 г,7.6 см,6.4 см,0.8 см,2408 x 1080,"6.6""",IPS,1 ТБ,64 ГБ,4,Android 11.x,NanoSIM,1 год,Unisoc T616,1.82 МГц,8,50 Мп,5 Мп,2 nano SIM + microSD,NFC; Wi-Fi; Bluetooth 5.0; Bluetooth 5.0,WiFi 802.11 a/b/g/n/ac,"A-GPS, GLONASS, BDS; Galileo",5000 mAh,mini-jack 3.5 mm; USB Type-C,,,200
287,119350262,Китай,325 г,7.94 см,15.9 см,1.8 см,1440 x 720,"5,7""",IPS,256 ГБ,64,4,Android,Nano-SIM,1 год,MediaTek Helio A25,2000 МГц,8,13 Мп,8 Мп,2,Bluetooth; NFC; Wi Fi,2G / 3G / 4G LTE,ГЛОНАСС + BeiDou + Galileo; GPS,8580 мАч,USB Type C,,,100
288,113244892,Китай,144 г,6.73 см,13.8 см,0.73 см,1334x750,"4.7""",IPS,,64 ГБ,,iOS,Nano-SIM,1 год,Apple A15 Bionic,,6 ядер,,,1,NFC; Bluetooth 5.0; Wi-Fi,LTE; 4G; 5G,GPS; ГЛОНАСС; Galileo,,Lightning,,,100
289,86264792,Китай,181 г,7.6 см,16.2 см,0.9 см,2400x1080,"6,5""",IPS,,64 ГБ,4 ГБ,Android,Nano-SIM,1 год,MediaTek Helio G88,2000 МГц,8,50 Мп,,2,NFC; Wi-Fi; Bluetooth 5.1,2G / 3G / 4G LTE,GPS / ГЛОНАСС / Galileo/ Beidou / A-GPS,5000 мАч,USB Type-C; mini-jack 3.5 mm,,,200
290,113271122,Китай,189 г,7.6 см,16.45 см,0.81 см,2408 x 1080,"6.6""",IPS,1 ТБ,64 ГБ,4 ГБ,Android,NanoSIM,1 год,Unisoc T616,,8,50 Мп,,2,Bluetooth 5.0; WI-FI 2.4 GHz,2G / 3G / 4G LTE,"GPS, ГЛОНАСС, BeiDou, A-GPS",5000 мАч,USB Type-C; mini-jack 3.5 mm,,,200
